0,Nearest,Farthest
1,0.0,80.36
2,20.19,68.51
3,6.63,55.64
4,9.09,55.85
5,0.0,80.36
6,8.14,72.42
7,6.63,51.79
8,11.03,91.49
9,11.03,100.06
10,48.54,100.06
