0,Nearest,Farthest
1,0.0,0.05
2,0.0,0.1
3,0.0,0.09
4,0.0,0.09
5,0.0,0.05
6,0.0,0.06
7,0.0,0.1
8,0.02,0.16
9,0.02,0.15
10,0.01,0.16
