0,Nearest,Farthest
1,0.0,68.4
2,11.26,51.59
3,5.07,48.2
4,4.19,42.91
5,0.0,68.4
6,6.33,62.29
7,4.19,43.3
8,6.79,81.2
9,6.79,84.51
10,36.09,84.51
